Tweet,clasif
  qué le costaba al tano pedir éso y además un central sobresaliente pero por andarle cuidando la cartera al patrón ya vimos lo que le pasó,neutral
  yo quisiera que fuera el nuevo timonel el que pusiera esa lista y no un wey que no va dirigir,negativo
"      jajajaja
aprende a escribir inche burro y luego presumes tus idioteces
we
se dice wey endejo o buey como tú comprenderás ",negativo
"rt  mucho éxito en esta nueva etapa como presidente de la 

que sea un gran camino al mundial de 2026 ",positivo
"  no chinguen dejen a almada en paz 
",positivo
   ojalá que no con rayados no marcó diferencia y se fue sin que nadie lo extrañara,negativo
"rt  el ciclo de layun en el  acabó en el 2014

nunca tuvo que regresar y menos con trato de referente no lo m",negativo
     siempre ha sido hablar más del america  van varias finales donde no están las águilas que se habla más del equipo de los finalistas importa más que jugadores llegan cuales se van  el nuevo entrenador etc es el más importante el america,positivo
  no le sabes al bait,negativo
  el ideal,neutral
  lo que deberías redirigir es tu vida ha de ser muy agradable convivir con un ególatra imbecil como tú,positivo
es este no hay más  ,negativo
 entregar  un torneo y vs las chicas   que dignidad de estos señores de no renovar ,negativo
  equis solamente en liga pero ya dieron su mejor partido a ver si les alcanza,positivo
   esto es tu culpa  ,negativo
                si carajo ya toca q le ponga atención a lo de  quien ha tenido mas oportunidades que roger y todavía a quedado peor es una malaria,negativo
  gracias por tantas alegrías que nos diste que dios te bendice en donde quieras que estés y muchos éxitos en tus nuevos proyectos,positivo
rt  se puede estar cayendo oaxaca a pedazos pero los americanistas no superan la derrota en el azteca   ,negativo
     claro hay niveles  ,positivo
  i can eat this,neutral
   te esperamos en el ,neutral
  es una buena opción porque no también álvaro morales y mario carrillo,negativo
entérate   la destacada gestión del argentino fernando ortiz como director técnico del  llegó a su fin abruptamente tras sufrir una dolorosa eliminación ante su rival histórico   ,negativo
     ok,neutral
rt  los fichajes del  si baños no fuera tan pndjo ,negativo
estimado y querido  tienes que caminar con la frente en altohas sido de lo más regular en el torneo errores todos los tenemos  no fue tu culpa del todo lo acontecido siempre has sido un motor en nuestro  ánimo chaval de las derrotas siempre ,neutral
  diego martinez,neutral
"  no hay campeonatos
no hay proyecto
no hay buenos jugadores
refuerzos llegan tarde 
siempre al final terminamo como siempre 
y este hdspm sigue al mando 
 increíble ",negativo
rt    correr a luis fuente sería una de las mayores estupideces,neutral
    no falla el blindaje es solo de precio,negativo
 a ver  no que iba al ,negativo
  correr a luis fuente sería una de las mayores estupideces,neutral
  siiii mil veces,neutral
  el único que puede llevar a lo más alto al ab es álvaro morales,neutral
"rt  con información de  

javier aguirre es el candidato más fuerte para ser nuevo dt de  ",positivo
   desde más de un año ese pone a omar en américa santos tiene claro que no va hacer fácil soltar a omar por qué lo ven para a europa y el tiene el sueño si lo venden es por todas las pretensiones que le cumplió américa a santos,positivo
"   el américa no es un equipo grande es una novela más de televisa
marrano morales 
jajajaja",positivo
"rt  ningún jugador que está actualmente en el américa ha marcado gran diferencia fidalgo es una mentira 

exclusiva con a",neutral
  mucha pieza para un club tan naquito,neutral
  ay no ese de dt no se merece dirigir a un club tan chico como televisa fc lo van a contaminar con tanta naquez y ridiculez,negativo
  no,negativo
  diego alonso,neutral
      ríos también es extracción puma,neutral
  no tienen idea del equipo donde estan,negativo
  osea eres pendejo eternamente,neutral
 jajaja pobre estupido villa villa c9mentocrata lamehuevista se habla mas del desmadre de la eliminacion del  y todo lo q se desencadeno de lo q se viene y el morbo del nuevo timonel q entrenara en coapa y los refuerzos jaja no de la final,positivo
   hocicones,neutral
 nos valen m4dre los 2 equipos  a nosotros solo nos importa lo que haga o deje de hacer el ,negativo
  si es que algun dia me lees el piojo,neutral
" no mames  

solo se banca al glorioso  los demás que chasm ",negativo
  es neta,neutral
rt  el américa es el único equipo que cuando gana hace feliz a la mitad de los mexicanos y cuando pierde hace feliz a la ot,positivo
 no olvides que tú eres el maguito  fidalgo el crack del club más grande de mexico todos nos equivocamos levanta la cara despega las alas que volverás más fuerte grande y sabio ánimo el  es tu casa ,positivo
  claro que no parece ser que les gusta mucho la de los nefastos argentinos,neutral
   soy aguila voy chivas,neutral
   pues lo querías para la selección,neutral
   lastima das,neutral
  no lo pueden pagar y al tipo no le interesa venir a méxico,neutral
 que sabes de las wilas de la américa  cuando te postulas como entrenador de las wilas ,neutral
  y las tendencias en tuiter no mienten mi clau  ,negativo
  aprende algo ,neutral
 no te vayas de este club maguitode los errores se aprende no fue culpa tuya tuviste un error es cierto pero has tenido muchos más aciertos que cuentan mucho más quedate por mucho tiempo más en el  ,negativo
   porfavor no se traigan al tranza y vende humo de    no pudo con monterrey y a  capaz que viene a arreglar juegos por favor piénsenlo mejor,positivo
  diego alonso y por qué nohugo sánchez,neutral
  gracias mijo,positivo
   amigo álvaro nada encontrá de ti creeme me agradas pero la idea de que alguien fuera del ámbito futbolístico pueda tener la oportunidad de surgir en un equipo de primera división se me hace imposible y menos con tu pasado cruzasulino eres y serás americanista por moda,negativo
   quieren traer a puro que juega un fútbol aburrido y ratonero primero alonso y luego aguirre mejor nada,positivo
"rt  por andar de hocicones  

ahora quienes son los que están muertos 

solo tienen grande el hocico y su cara",negativo
rt     fuerabaños ,neutral
  fuerabaños,neutral
  fuera baños ,neutral
"  a quien revives para dirigir al américa

hugo sanchez
miguel herrera 
mario carrillo",neutral
   medina es buen jugador en todos los equipos excepto en américa no sé qué le pasa cuando se pone la playera amarilla,negativo
  no,negativo
"    a ver vamos al punto concuerdo en que si lo deben vender pero no regalar aunque no nos guste como juega dio un buen torneo y este es el mejor momento de su valor para venderlo no regalarlo 

no solo es vender a todos a los pendejo porque estás enojado eso no va a pasar ",negativo
"  ya es hora de que se deshagan de viñas es una burla que siga en el equipo también chava es una farsa de jugador aquino parece que es seguro que se va al fin
de todos solo dejaría a leo",negativo
"no le hubiera dado un puto día de vacaciones al  a ver si así a la siguiente les vale tanto verga la eliminación cargas dobles hasta que noten que no es momento de festejar nada 

un insulto a la afición ver como presumen sus vacaciones

pd ya vete puto ",negativo
   claro ,positivo
"rt   no queremos más bomba qué ver a  fuera del 

 

fuerabaños",negativo
     ese prepotente mando que se dise ser es indicativo ocelot respaldado por las ratas de máximo   pero ya ai que poner un alto pueblo que chinges a su madre pinches ,neutral
     sipero se habla del fracasosososotote de ambos y no de la calidad de sus integrantes,negativo
    en la mera yugular we jajajaja saludos,positivo
   así es  que traigan jugadores que sientan y amen al club con personalidad que no les de miedo a la hora buena canteranos y refuerzos chingones sobre todo un dt con huevitos y jamás se eche para atrás a defender como equipo chico,negativo
      orientalo wee plis,neutral
   como martin qué desapareció  en  el partido  qué debió ser líder,neutral
 después ya no hizo esfuerzos,negativo
  ni un puto tiro hiciste en la liguilla ni uno brother ya llegale al mazatlán o a un equipo de esos chicos xq para ser en america un goleador estás muy mejor y con todo respeto,negativo
"  valió pa madre pues no estaba mazatlán en la liguilla  no hubo penales regalados así que en la liguilla una vez más mostraste que estás muy abajo de ser un
cuauh cabañas ni sus festejos mereces hacer eres con todo respeto un tronco que el america le queda grande no eres bomba",negativo
  buenas noches club y patrón sólo diré esto la eliminación no solo es el técnico sino jugadores lo principal es que también se vaya baños  se perdió de la manera más tonta el domingo y no se vale que siempre salgan con gracias afición,negativo
  suscribo,neutral
  si pero no digan mamadas es imposible,negativo
rt   chivas tiene un equipo mediano  que le bastó para humillar al  en su casa con su gente y fre,neutral
   mi novio atlista ahorita es tigre ,neutral
   awuevo apoyamos a los  tigres ,neutral
"rt  te amo   
no de acuerdo con la directiva",neutral
"te amo   
no de acuerdo con la directiva ",neutral
  pase lo que pase mi vida sigue,neutral
entiende  mientras sigas prescindiendo de  y el promotor nazareno marcollese así traigas a pepe guardiola el  siguiera fracasando escucha a la afición    ,neutral
rt       un placer coincidir mis queridos amigos bendiciones ,neutral
  no es necesario hacerse chaquetas mentales el muñeco tiene otros planes y todos lo sabemos yo creo ni a la selección vendría,negativo
    no viste ningún puto juego de rayados con este sr jugaban de la verga lo corrieron por malo no mames,negativo
  a ver chupapijas vende notas haz un trabajo serio y deja de sacudirte el ganso pensando en algo que no va a pasar la prensa amierdicanista ya no sabe qué inventar,neutral
  jajajaja excelente los tigres les rogamos que lo contraten por favor,positivo
  cállese hijo de la chingada,neutral
" fuerabaños 

azcárraga hay muchas maneras de que  se vaya del clubamerica este año tiene que ir por su bien y todo mundo va a estar tranquilo pero de que se va se va del 

ya basta de que este tipo en 5 años no ha hecho nada y solo esta dañando al club",positivo
"rt  los que serían prioridad ya hay negociaciones por ellos no importa el dt que llegue  
ojalá se cierren tod",negativo
            que se vaya gratis aquí no sirve,neutral
            jajaja va ir de shopping a europa x q quien vergas le va a   y tampoco es la panasea del futbol para q  este obsesionado x verlo en el banquillo de coapa,positivo
      pase lo que pase en la final esa ya es otra historia por lo pronto a las wilas les faltaron manos para pelarnola ,neutral
  bien dicho   se acobardo en los cambios,neutral
"  en lugar de inventar tanta metira mejor saquen la nota q al fin se va  esa es la noticia q está esperando la afición del  después del desastre del domingo y desde hace 5 años sin título
fuerabaños",positivo
   para que les lleves las aguas y les laves sus uniformes,neutral
" ya cuando mandan a la verga a todos esos jugadores inútiles como 
cáceres
roger
viñas
oscar jiménez
jonathan dos santos",neutral
  no yo quiero que llegue el tata martino es la mejor opcion,positivo
"rt  estos jugadores serían moneda de cambio del  

viñas
luis fuentes
salvador reyes
layún
aquino
medina 
l",neutral
" si sabe la magnitud de lo que pasó el domingo nos ganaron las chivas un clásico en semifinales  
lo consideraba más chingon patrón pero sus decisiones con  han venido de mal a peor y ni hablar de la ",negativo
 hey patrón supongo que si le tenie amor a la memoria de su padre entonces por favor haga algo por el  ya es hora de dar un muy buen golpe de autoridad sobre la mesa corra a  contrate a un buen técnico y meta buenos jugadores por el amor a su padre,positivo
  eso es lo malo deciden por ellos y no lo que ellos quieran por eso se debe ir baños,negativo
  jajaja gallardo no va a llegar a la liga mx,positivo
   no por favor,positivo
  es en serio aguirre para el ame nooooooooooooo  juego ratonero no le fue bien en monterrey definitivamente no convence da hueva ver su estilo de fútbol,positivo
 no mms hace mas ruido la busqueda del próximo dt del  que la final entre cornudos lafinaldeloscuernos,negativo
"  que les parece zidane 
jajajaja el américa va terminar trayendo al profe cruz",neutral
 en la perra vida volver a ver a ése pndejo y a toda su familia en el   ,negativo
    lo único que es un hecho que el  es y seguirá siendo el más ganador y que los traemos de hijos desde hace años ,positivo
  lo más increíble es que ya se habla de jugadores que están en por llegar al  pregunto quién lo pidió quien decide que esos son los que hacen falta al equipo  o ya es el técnico que antes de llegar los está pidiendo ,positivo
 no solo fidalgo todo el  la cago el primer gol es cazeres quien se regala y pienso ya a propósito el segundo gol de primaria nadie marca y en el tercer gol  hasta se abre y pierde la marca y  sus cambios de mierda según había aprendido y nada,negativo
rt  oye  ya le diste las gracias al inepto de   o te vas a esperar a que pasen otros 13 años como la últim,positivo
  la pregunta es  quien los pidió  quien arma el equipo y por qué y para quien ,neutral
imaginate  valla x fernando del  y el ame x vucetich que cosas  si los doa padecieron de lo mismo en semis       capaces segun info de  lo de fdo,neutral
  no edu cuando volvió al america le dieron tantos beneficios no se que onda con estos directivos entrenadores y dueño ya cualquiera puede ser referente,neutral
  de categoría nmms,neutral
rt  se gana y se pierde  pero jamás se deja de amar al  ,negativo
 mucha casualidad tantos errores en momentos clave  ojalá se vaya del equipo ojito  jugadores así no pueden estar en el club dejan mucho que pensar,negativo
rt  ptm wey chabelo sí se murió a lo mero pendejo todo por su culpa estúpidos ,negativo
  se necesita estar muy pendejo no pudo en cruz azul ni en chivas  claramente el américa fue exitoso a pesar de este pendejo el  le dio renombre a pelaez  no al revés,positivo
      no creo que ese chuy sepa de equipos  menos de partidos políticos  jeje,negativo
   no fue chivas fue el propio américa así nos hubiera eliminado tu san luis la catástrofe hubiera sido la misma este torneo no se tenía que haber perdido,negativo
 chinguen mucho a su madre pocos huevos estaríamos a horas de una nueva final y tuvieron que cagarse cómo los detesto,neutral
  no mamen cómo va ganando diego alonso quieren ver al ame con el camión atrás todos los partidos,positivo
  se cagaria ante la presion,neutral
     no hay pruebas pero tampoco dudas ,negativo
  correcto diste en el punto de los q suenan el único q quisiera en el américa es a gallardo pero está muy difícil entonces almada sería muy buena contratación,negativo
en el  están contentos porque la final la transmitirá   y  ,neutral
  barbosa y campos todavia pero los otros neee memeees,neutral
  muchas gracias tano se te va extrañar ,positivo
  sii,neutral
  alvaro morales ya se postulo,neutral
"rt  el  necesita un técnico pero también un líder en el campo

este plantel no tiene liderazgo",negativo
  y cuando se va baños,neutral
   solo porque a ustedes los mando alv pero cómo se iba a venir a un equipo donde solo en su pueblo lo conocen,negativo
  leo si ama al ame se nota desde lejos no entiendo porque no jugó,negativo
   hahahahhahahaahhahahahaajajahahahahajajhajajajajajajajajajajahajajahahahhajajajajajahahshahajsjajajsjajajajhahahahahahahahahsjajhajajsjsjshaha,neutral
   jajajajajajaja mercenario,neutral
"rt       lic  jefe de la policía de la cdmx
su policí",neutral
   viene a escribir acá para que se le olvide que no tiene para comer jaja,positivo
rt        no se pero desgraciadamente a ti si te creo,negativo
  queremos a ,neutral
"    nada es imposible para el américa
le ganan a chivas en el torneo regulas y en la liguilla las chivas se los cojen",neutral
  a  le tiene que resindir el contrato si o si por su bsjo rendimiento y productividadaaa pero esta la miierdaa de ,neutral
fuerabanos fuerabaños  hijo de la gran puta ya saca a  de nuestro gran ,negativo
"rt       lic  jefe de la policía de la cdmx
su feroz",neutral
   según américa tiene cerrado al lateral de pachuca también ,neutral
"en el  desde hace tiempo que las cosas se hacen muy mal
los festejos del centenario fueron un bodrio
las playeras e indumentaria han tenido ejemplares de vergüenza
no existe planeación ni estrategia en las contrataciones",negativo
      es americanista el quico y anda encabronado ,neutral
no me jodas  ya te extraño carajoooo  no nada más hiciste jugar espectacular al equipo  hasta me di el valor de separarme con tal de ver al  del tano  vuelve ptm ,negativo
    cómo puede hablar un hincha del river de grandeza si el grande y el mejor equipo de su país es otro y ya sabes quien es jaja,positivo
"me está cayendo el veinte que a mis equipos no solo los eliminaron del camino por el título sino que los humillaron nomamar

  15
 23 reemontada  en casa y con el acerrimo
 04 barrida",negativo
  pero por supuesto mejor que el vasco aguirre y todos los que han sonado,positivo
"fuerabaños  pecho frío  soberbio contra la afición se cansa muy rápido  vendió al   atlantista pendejo

cómo es posible que todos sepamos que  es quien debe salir y el idiota de  no lo sepa  ",negativo
 no mames es jueves y sigo con el pinche corazón roto alv ,negativo
  viendolo bien es más lógico e inteligente,positivo
  buen jugado,neutral
  se respeta a los americanistas,neutral
"rt  de pagar una cláusula de rescisión por jardine o algún otro dt yo mejor la pagaba por guillermo almada   
qué opinan",positivo
el  no quita el dedo del renglón pues de acuerdo con el comunicador  abriría las cartas para hacerse de los servicios de kevin álvarez ,neutral
  excelente opción,positivo
   en serio lo creía más inteligentes no quieren vecetich,positivo
  ese levanta muertos como el caso del ame ,neutral
  se les olvida como se ha puesto cuando nos ha enfrentado prácticamente se ha peleado con todos nuestros extecnicos un tipo que no merece estar en el mejor equipo de méxico y que aparte nos aborrece ,negativo
se gana y se pierde  pero jamás se deja de amar al  ,negativo
   de una vez que están con atlas que se vayan por quiñones ya que andan por ahí,neutral
de pena y vergüenza  esto hasta el el llano se sabe que no puedes dejar la marca y era obvio la jugada que harían  la cagaste y que mejor que te fuiste jugadas que dejan mucho que pensar ojito  el enemigo está en casa y se llama  ,negativo
"  solo hay 2 opciones
1 almada
2 larcamon

diego alonso es d la escuela del tuca ferreti ",negativo
 debería decirle hasta siempre al cáncer llamado santiago baños es quien tendría que dejar de existir bastante daño le ha hecho al ,negativo
  que rico se sintió cuando chivas te la metió con todo y bolas pinche crecido jajajajaj,positivo
  teniendo a baños como directivo  no creo que venga algode categoría,negativo
  puro inche we que no sabe de fútbol opina aquí primero es perfil para el américa segundo por qué juega alegremente para adelante ya debe ser el dt no mamen pasarán 15 días y no sabremos nada  a un puro coyote escribe pndjada,neutral
rt  estas fueron las 17 formaciones titulares de  a lo largo de la fase regular del torneo clausura 2023 ,neutral
estos pendejos nos eliminaron k vergüenza   ,negativo
   va a ser dt de chivas,neutral
  jajajaja y luego le echamos la culpa a   o a   ya se les olvidó lo que decía de méxico ,negativo
 por eso el  está en crisis bańos teniendo un cagadero en el equipo y su dueńo en la pendeja total,negativo
   totalmente pero desgraciadamente ahora en el   su   tiene bastantes aplaudidores q venden humo y muchos fans muy ternuritas compran espejos ejem  fidalgo lo inflan tanto como si fuera a iniesta siendo q es un player medianito   ,neutral
 24 de mayo 2023 2105 hrs y aún seguimos esperando el comunicado oficial donde agradecen el profesionalismo la entrega el trabajo bla bla bla y le desean suerte en sus próximos proyectos al inútil de santiago baños fuerabaños,positivo
    cuando el naco ese tal pocho gane un mundial o champions que hablé mientras seguirá siendo un mediocre perdedor,negativo
   tu ídolo el brujo,neutral
    si se comparten las primas que no se compartan los trofeos regios al fin,negativo
sería una burla imperdonable del  hacia toda su afición ,negativo
" y el baños tapados de  cuando se larga del  

fuerabaños",neutral
  para la seleccion mexicana,neutral
  sy tiene los huevos como a muchos técnicos les faltan saludos vucetich y varios mas,positivo
   voy con los tigres 1000,neutral
   chupalo,neutral
dentro de todos esta  entienden mi gente de  ya no servía aquí pero ah como joden que hubiera hecho diferencia  mira hermano jejeje ,negativo
  y las fuerzas para cuando ,neutral
"  al menos que se traiga un peso pesado

el único que se me ocurre que puede tener ese liderazgo es marche",neutral
  sueñan,neutral
  otro wey que sólo publica tonterías no hay acercamiento nada,negativo
  ufff yo quitaría a israel reyes,neutral
mientras tengamos al enemigo en casa  el  no va a levantar un título eso todos lo sabemos menos el disque americanista 1  que de americanista no tiene ni madres,negativo
   wish you well on all your new learning experiences and they prepare you to comeback i personally thought you did great  some mistakes yes but sometimes it takes a while more than 3 seasons to attain the goal,neutral
rt  el  se encuentra en negociaciones por diego barbosa del  ,neutral
  totalmente de acuerdo tiene el caracter la experiencia y la personalidad para dirigir al america,positivo
  nooooooooooo,neutral
 no seas orgulloso convence a al tano ortíz nuevamente,positivo
rt  estas fueron las 4 formaciones titulares de  en la fase de liguilla del torneo clausura 2023 ,neutral
rt  la afición del  en estos momentos desde la cima del éxito  ,positivo
"entérate  tras la renuncia de fernando ortiz  ya hizo una propuesta al vasco aguirre 
",negativo
     a ti si te doy la razón estamos años luz hasta los gringos del fútbol élite claro qué hay jugadores de sudamerica que tienen esa calidad,positivo
  nonono y mil veces no,negativo
"    a seguir callando bocas maguito 
",neutral
   estas listo para el carneo gordo vaca,negativo
  puro jugador liga de ascenso,neutral
    el america es un equipo odiado aquí en mexico pero jamás a descendido,negativo
rt  en el bloque final de realidades y opiniones conversamos con guillermo lemus quien comparte su análisis deportivo pr,neutral
      no contesta por qué sabe que la tiene bien atorada en trasero,negativo
   a claro,positivo
  nooo jamás ,neutral
   eso para ti es consuelo cualquier equipo supongo prefiere jugar la final que leer tuits de su próximo dt,neutral
  tano no te interesa dirigir en la mls,negativo
   y kevin alvarez,neutral
el  se encuentra en negociaciones por diego barbosa del  ,neutral
     si pero él tigres le ganó al palmeiras de brasil en un mundial de clubes le jugó de tú a tú al bayern nada más le pudo meter un gol sudamerica tiene mucho tiempo que sus equipos no están al nivel de las circunstancias,negativo
    mmmm pues esa es tu opinion brother y la respeto,neutral
     son los que más aficionados entran al uni los de  menos duroooooo    vamos por la octava ,neutral
hahaha grabé dos veces el pasado americayya y según yo en el segundo estaba más contenido y tranquilo pero si me escucho superencabronado haha disculpen el florido lenguaje pero para eso es este podcast el dejar salir toda la pasión en el análisis de mi amado ,positivo
  me gusta más javier aguirre pero conociendo la debilidad del dueño por los sudamericanos y en especial por los argentinos no dudo que este sea el ganón aunque desconozca el fútbol mexicano,negativo
   yo se que doria esta más que cerrado con tigres,neutral
 no es javier aguirre,negativo
  y marcel ruiz,neutral
"rt   mejor un hasta siempre  
eso es lo que urge 

ya póngale tantita atención al  ya 
van 5 años",positivo
rt   es una pena que tenga a gente como   fracasando rotundamente en el equipo  se le nota el cariño que le,neutral
   no se porqué no les han tenido la misma paciencia que al petardo de roger  bryan huevo lozano también a las 1eras de cambio lo sacaron del club hoy día es uno de los mejores de la liga y el américa debe darse de topes ,negativo
    totalmente cierto así llegó el tano ,positivo
"  me inclino por almada o jardine el muñeco no es una garantía de éxito si o sí recordemos al panadero díaz larga fila de éxitos en river y 

diego alonso si salió campeón y todo pero en sus últimos torneos se fue peor q mohamed 

de aguirre y osorio mejor ya ni hablamos",positivo
  estando el gran santi baños como directivo del club américa es imposibleal primer refuerzo que pida le dirá que no hay dinero ,negativo
 gracias a estos desvuevados ,positivo
   nooooooo no no no aguirre no sirve fracaso con la selección dos veces de idéntica forma con mty también es un técnico para equipos chicos con problemas de descenso no no no,negativo
  dile a tu papa azcarraga q les compre otros 10 canpeonatos si no no van a ganar  ni mergas,positivo
  jamas,neutral
  nooo,neutral
  el america necesita un base de mexicanos solida con 4 o 5  extranjeros de jerarquia esa ha sido su historia y el sustento de sus triunfos ahora solo tenemos a malagon israel reyes henry y zendejas para ser titulares nos faltan los dos laterales y un centro delantero,negativo
 y hay peores noticias en el    sigue en el equipo fuerabanos fuerabanos,neutral
      bueno entonces esperemos a que se pague la cláusula haber si llega ,positivo
  son re tracalas,neutral
     imaginate que un eliminado y humillado le diga a alguien que está en la final que está sufriendo jajajajajajaja tas bien idiota compa la neta,negativo
    yo soy americanista al chile no me importa quien gane el quede campeón lo tendrá merecido pero al chile si te voy a hacer sincero ya quiero que sea domingo para tirarle carro al que pierda ,positivo
"el muñeco gallardo se dio el lujo de decirle que no a varios equipos europeos de la élite y quieren que venga al ame no mamen 

",negativo
"rt  arrancamos la semana y estamos bienydebuenas en  

qué está pasando con el volcán  popocatepetl 

se reún",neutral
  los piojosos del   no tienen para pagarle,negativo
estas fueron las 4 formaciones titulares de  en la fase de liguilla del torneo clausura 2023 ,neutral
  el que sea pero que jueguen con huevos nada más,neutral
 gracias tano,positivo
 se puede hablar del  mas que de las  y del   pero aun asi lo que importa es que uno los esos 2 equipos quedará campeon mientras que la aficion del américa se conforman a que se hable mas de ellos por su fracaso,negativo
     ha regios endejos brillan,neutral
rt   bienvenido que venga a aprender aquí en el  todos pueden venir a cargarla mientras se educan,neutral
   jajajaja  exacto  cabron  mejor dicho no puede ser ,positivo
  prefiero a diego cocca y que se vaya baños,neutral
rt    y baños para cuándo lo corren  fuerabanos,neutral
  tqm tano,neutral
   no mms le pagaban a roger 8mdd por caminar la cancha yo pongo 1m para el muñeco aunque sea 1m de picafresas kaká,negativo
     de aguador puede servir,neutral
  el americanismo espera el fuerabanos,neutral
  es bueno para el fútbol argentino,positivo
"    así es igual que los arjentinos
boca y river son equipos de medio pelo en el resto del mundo
fuera de arjenzuela nadie los conoce",neutral
  es un técnico caro creo que  haciendo un esfuerzo lo puede pagar y luego el muñeco va a querer armar el equipo a su gusto y con checera abierta ahí el principal problema el muñeco no va a querer dirigir a los reyes y a araujo,positivo
 no entiendan si ciclo con  termino,negativo
" lamentable pérdida la de tina  
también muy lamentable que  aún este en ",negativo
   aguirogitigres,neutral
"   tu francés tu nico de cristal castillo tu cabezita
disque bombas que cuestan 10millones valen pa pura riata si quieres y club con fichajes caros vete a monterrey
pero mira que eso vale pa pura verg4 en esta liga
tan solo mira el pachuca que sin mucho dinero fue campeón",negativo
      no se pero desgraciadamente a ti si te creo,negativo
"rt  tenemos boletos para el clasiconacional    

cómo participar 

1dale rt a este posteo
2",neutral
   no des ideas,negativo
 dep  desde que tenemos a  de directivo y un dueño sin personalidad,neutral
  como la ves necesitan hablar del america si no ni quien los vea igualmente jorge ,negativo
   haznos un favor y así como le dejaste de ir al cruz azul déjale de ir al américa pinche salado de mierda eres un jonás cabron,negativo
  totalmente y el pedo es que un líder no llega así directamente y ya tiene que ser alguien con carácter y que se vaya ganando el respeto de los jugadores con el tiempo o sea va para largo pss ,negativo
rt    ni existe tal situación sólo es una buena confusión que desataron los antiamericanistas para desco,neutral
  eres la burla no tendencia,negativo
"rt   guerreros con alas 

gibrán araige reportero de tudn cubre al  
ayer habló de 2 jugadores de ",neutral
  aquino vale 35 millones los del santos valen 5 millones cada uno estas bien de la cabeza,neutral
  no cuentan con el presupuesto aunque dinero si tienen para pagar lo que cobra ese dt sean realistas,negativo
rt  es día de felicitar a uno de los más grandes americanistas de la historia felicidades idolazo  el maximo anotador,positivo
"      no no te golpearía jamás 
caer en provocaciones es un error que puede traer muchas consecuencias no es bueno subestimar amigo además pensándolo bien nuevamente sería golpear a un discapacitado entonces sería doble problema ",negativo
     si te creo,neutral
"rt  y si te llaman de coapa mano 

les gustaría ver a javier aguirre dirigiendo al   ",neutral
  pero seguirá y seguirá y seguirá aunque el américa llegué a 10 años sin ganar nada,positivo
     yo no extraño a camberos me alegró su salida no el motivo y américa ha demostrado mucho fútbol este torneo no todo es goles sí eso te hace ganar pero no todo es goles el temporada se pudo empatar con tigres no pudieron anotar y por momentos se veían mal todo es posible,negativo
rt   y del  con ando tenemos noticias pinche cara de cuyo vales absolutamente verga jajajajajaja,neutral
  si por algo somos el campeonisimo  pero hay q selebrar el hoy y hoy los samcamos y quedará para la historia pero q mediocre q quieras sedar tu dolor q quedaron fuera de esta manera y diciendo q se habla más del dt del amierdica q la final pero en fin patadas de ahogado,negativo
   ni en sueños además la filosofía degallardo no va con la del equipillo de coapa,negativo
" oye grandisimo cagon de mierda  seguimos esperando que corras al pendejo que tienes como presidente de  mándalo al
programa hoy o lo que sea pero sácalo de coapa ya vamos para 6 años de puros fracasos",negativo
  pues si encabrona pero no se puede hacer nada somos simples aficionados que le valemos  al dueño  ej cuantos años llevamos pidiendo la salida de baños ya se los dije no vayan al estadio no compren el nuevo jersey no abonos no ver los primeros 3 de local,negativo
buenas noches señores saludoscon ustedes todo el día el día es feliz hay recomiendenmen por si van a querer una remodelación saludos y arriba el vergonzosoclubamerica      ,positivo
"  nunca tuvieron la posibilidad de seducir a cualquier entrenador del mundo

tampoco exageremos 

la diferencia es que los equipos mexicanos crecieron económicamente y ahora hay mas competencia entre ellos por comprar jugadores",negativo
"nueva aguila

   tras el fracaso en semis el conjunto de coapa busca armar un equipo campeón y dentro de sus planes esta el joven lateral de los tuzos kevin alvarez se dice que el valor del jugador estaría en 10md

rendiría en el américa

si 
no  ",negativo
  si,neutral
  no es para el américa,negativo
  seria el tecnico ideal para dirigir al mas grande de mexico,positivo
   alonso el que no convoco a cabeza brayan y caceres para el mundial 2022 supongo que estos tres lo van a recibir con los brazos abiertos ,negativo
rt  ahorita estuviéramos nerviosos por la final y con esa sensación de que se podía ganar pero se les ocurrió cagarse el domingo,positivo
     a los tigres también le robaron unohubieran mamado comoquiera,neutral
    entonces los dt argentinos no saben dirigir según tú xd,negativo
   cállate y sirve mis bebidas  ,neutral
  sí,positivo
  hijo de toda tu putísima madre nos hechaste a perder el torneo kgon de mierda,negativo
    ya deja de hablar de tigres no pasa nada di dejas de hacerlo vas a seguir respirando bro,negativo
  mms wikipedia cualquier puede modificar eso,neutral
"alguien ocupa un asador para el domingo
por razones personales yo ya no lo voy a ocupar


 ",negativo
  si buena apuesta ,neutral
" gracias de queeeee
tiempo perdido mentalidad mediocre nomejodan jaja

si quieren hacer algo bien y en serio saquen a baños y traigan a diego cocca para empezar",positivo
  américa tenía todo para ganar la 14 todos por confiandos paso eso hasta la misma afición ya se sentían en la final uno que otro decía paso a paso de ganar la 14 hoy chivas está más cerca si no ya casi tiene a segurado la 13 eyos,positivo
  mvm,neutral
   en lugar de nico díaz sería mejor licha lópez también de xolos,positivo
  la diferencia es que el último america de solari jugaba del asco ni jugaba a nada y todos los torneos del tano fuero jugando excelente solo fue mala suerte y mínimos errores que costaron caro,positivo
